task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	process	submit_time	realtime_seconds	duration_seconds	cpu_percent	cpu_time_seconds	peak_rss_GiB	peak_vmem_GiB	read_GiB	write_GiB	cpu_hours	wall_hours
159	b7/b7bf46	45582201	setHaplotypes (5)	COMPLETED	0	2025-03-08T21:55:05Z	44.7s	13.5s	89.9%	22.4 MB	54.4 MB	3.1 GB	1.7 GB	setHaplotypes	2025-03-08T21:55:05Z	13.5	44.7	89.9	12.136500000000002	0.021875	0.053125	3.1	1.7	0.0033712500000000005	0.00375
164	c1/b26e26	45582211	seqtk (3)	COMPLETED	0	2025-03-08T21:55:43Z	4m 42s	4m 18s	512.8%	40.9 MB	644.8 MB	29 GB	12.4 GB	seqtk	2025-03-08T21:55:43Z	258	282	512.8	1323.024	0.03994140625	0.6296875	29	12.4	0.36750666666666665	0.07166666666666667
167	36/3e9c69	45582215	seqtk (6)	COMPLETED	0	2025-03-08T21:55:43Z	5m 2s	4m 38s	597.8%	46.9 MB	655.2 MB	29.8 GB	14.7 GB	seqtk	2025-03-08T21:55:43Z	278	302	597.8	1661.884	0.04580078125	0.63984375	29.8	14.7	0.46163444444444446	0.07722222222222222
170	6d/07cb24	45582209	seqtk (9)	COMPLETED	0	2025-03-08T21:55:43Z	5m 22s	5m 1s	578.5%	53 MB	657.4 MB	30.7 GB	15.4 GB	seqtk	2025-03-08T21:55:43Z	301	322	578.5	1741.285	0.0517578125	0.6419921875	30.7	15.4	0.4836902777777778	0.08361111111111111
162	13/f8b134	45582208	seqtk (1)	COMPLETED	0	2025-03-08T21:55:43Z	6m 7s	5m 45s	735.1%	77.7 MB	682.3 MB	38.1 GB	26 GB	seqtk	2025-03-08T21:55:43Z	345	367	735.1	2536.095	0.07587890625	0.66630859375	38.1	26	0.7044708333333333	0.09583333333333334
163	cb/fe2df2	45582210	seqtk (2)	COMPLETED	0	2025-03-08T21:55:43Z	6m 7s	5m 46s	708.0%	63.4 MB	725.4 MB	37.5 GB	25 GB	seqtk	2025-03-08T21:55:43Z	346	367	708	2449.68	0.0619140625	0.7083984375	37.5	25	0.6804666666666667	0.0961111111111111
165	cf/c7cd25	45582207	seqtk (4)	COMPLETED	0	2025-03-08T21:55:43Z	6m 42s	6m 19s	725.5%	87.7 MB	692.8 MB	37.7 GB	26 GB	seqtk	2025-03-08T21:55:43Z	379	402	725.5	2749.645	0.08564453125	0.6765625	37.7	26	0.7637902777777777	0.10527777777777778
166	e4/133821	45582213	seqtk (5)	COMPLETED	0	2025-03-08T21:55:43Z	6m 57s	6m 33s	676.3%	87.5 MB	691.3 MB	37.1 GB	25.1 GB	seqtk	2025-03-08T21:55:43Z	393	417	676.3	2657.8589999999995	0.08544921875	0.67509765625	37.1	25.1	0.7382941666666665	0.10916666666666666
169	56/db394b	45582214	seqtk (8)	COMPLETED	0	2025-03-08T21:55:43Z	7m 17s	6m 52s	676.1%	91.7 MB	693.6 MB	38.3 GB	26.1 GB	seqtk	2025-03-08T21:55:43Z	412	437	676.1	2785.532	0.08955078125	0.67734375	38.3	26.1	0.7737588888888889	0.11444444444444445
168	f1/db7309	45582212	seqtk (7)	COMPLETED	0	2025-03-08T21:55:43Z	7m 52s	7m 25s	655.1%	89.7 MB	695.5 MB	39.1 GB	27.2 GB	seqtk	2025-03-08T21:55:43Z	445	472	655.1	2915.195	0.08759765625	0.67919921875	39.1	27.2	0.8097763888888889	0.12361111111111112
179	d5/78ec9b	45582228	seqtk (18)	COMPLETED	0	2025-03-08T21:55:50Z	14m 40s	14m 24s	648.5%	287.6 MB	894.5 MB	78.7 GB	52.1 GB	seqtk	2025-03-08T21:55:50Z	864	880	648.5	5603.04	0.280859375	0.87353515625	78.7	52.1	1.5564	0.24
182	b7/b1e24f	45582223	seqtk (21)	COMPLETED	0	2025-03-08T21:55:50Z	16m 40s	16m 24s	629.6%	299.7 MB	906.2 MB	86.2 GB	56.7 GB	seqtk	2025-03-08T21:55:50Z	984	1000	629.6	6195.264	0.29267578125	0.8849609375	86.2	56.7	1.7209066666666668	0.2733333333333333
178	1d/4f522a	45582225	seqtk (17)	COMPLETED	0	2025-03-08T21:55:50Z	20m 30s	20m 15s	689.6%	334.1 MB	936.9 MB	98.4 GB	76.3 GB	seqtk	2025-03-08T21:55:50Z	1215	1230	689.6	8378.64	0.32626953125	0.91494140625	98.4	76.3	2.3274	0.3375
177	ee/5ad128	45582227	seqtk (16)	COMPLETED	0	2025-03-08T21:55:50Z	20m 55s	20m 37s	691.1%	337.7 MB	944.2 MB	100.8 GB	79.2 GB	seqtk	2025-03-08T21:55:50Z	1237	1255	691.1	8548.907000000001	0.32978515625	0.9220703125	100.8	79.2	2.3746963888888892	0.3436111111111111
180	82/2f9817	45582226	seqtk (19)	COMPLETED	0	2025-03-08T21:55:50Z	23m 15s	23m 1s	687.3%	355.6 MB	961.6 MB	111 GB	87.2 GB	seqtk	2025-03-08T21:55:50Z	1381	1395	687.3	9491.613	0.347265625	0.9390625	111	87.2	2.6365591666666663	0.3836111111111111
181	16/be486d	45582224	seqtk (20)	COMPLETED	0	2025-03-08T21:55:50Z	23m 30s	23m 12s	657.5%	347.7 MB	953 MB	108.2 GB	83.7 GB	seqtk	2025-03-08T21:55:50Z	1392	1410	657.5	9152.4	0.33955078125	0.9306640625	108.2	83.7	2.542333333333333	0.38666666666666666
176	dc/787364	45582220	seqtk (15)	COMPLETED	0	2025-03-08T21:55:45Z	24m 15s	23m 50s	376.2%	380.1 MB	987.1 MB	122.4 GB	40.4 GB	seqtk	2025-03-08T21:55:45Z	1430	1455	376.2	5379.66	0.37119140625	0.96396484375	122.4	40.4	1.49435	0.3972222222222222
173	99/20d337	45582219	seqtk (12)	COMPLETED	0	2025-03-08T21:55:45Z	29m 55s	29m 31s	497.3%	178.9 MB	787.5 MB	172.6 GB	76.9 GB	seqtk	2025-03-08T21:55:45Z	1771	1795	497.3	8807.183	0.17470703125	0.76904296875	172.6	76.9	2.4464397222222223	0.49194444444444446
172	b0/4f5d08	45582216	seqtk (11)	COMPLETED	0	2025-03-08T21:55:45Z	45m 55s	45m 31s	667.6%	183 MB	789.3 MB	230 GB	158.7 GB	seqtk	2025-03-08T21:55:45Z	2731	2755	667.6	18232.156000000003	0.1787109375	0.77080078125	230	158.7	5.064487777777779	0.7586111111111111
171	a9/1636b2	45582217	seqtk (10)	COMPLETED	0	2025-03-08T21:55:45Z	46m 50s	46m 27s	650.0%	185 MB	792.8 MB	233.9 GB	164.4 GB	seqtk	2025-03-08T21:55:45Z	2787	2810	650	18115.5	0.1806640625	0.77421875	233.9	164.4	5.0320833333333335	0.7741666666666667
174	03/c4ff30	45582221	seqtk (13)	COMPLETED	0	2025-03-08T21:55:46Z	48m 35s	48m 14s	616.2%	205 MB	816.3 MB	199.2 GB	147.2 GB	seqtk	2025-03-08T21:55:46Z	2894	2915	616.2	17832.828	0.2001953125	0.79716796875	199.2	147.2	4.953563333333333	0.8038888888888889
175	e4/89438d	45582218	seqtk (14)	COMPLETED	0	2025-03-08T21:55:45Z	49m 30s	49m 7s	583.4%	203.4 MB	870.4 MB	195.2 GB	141.4 GB	seqtk	2025-03-08T21:55:45Z	2947	2970	583.4	17192.798	0.1986328125	0.85	195.2	141.4	4.775777222222222	0.8186111111111111
