task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	process	submit_time	realtime_seconds	duration_seconds	cpu_percent	cpu_time_seconds	peak_rss_GiB	peak_vmem_GiB	read_GiB	write_GiB	cpu_hours	wall_hours
64	bd/ba3ceb	45579263	predictRF (44)	COMPLETED	0	2025-03-08T19:48:50Z	4m 9s	20.7s	95.7%	738.2 MB	1013.6 MB	66.7 MB	35.2 MB	predictRF	2025-03-08T19:48:50Z	20.7	249	95.7	19.8099	0.7208984375	0.98984375	0.06513671875	0.034375	0.00550275	0.00575
50	99/6b2dc7	45579269	predictRF (30)	COMPLETED	0	2025-03-08T19:48:51Z	4m 9s	23s	95.2%	737.8 MB	1013.6 MB	67 MB	36 MB	predictRF	2025-03-08T19:48:51Z	23	249	95.2	21.896	0.7205078125	0.98984375	0.0654296875	0.03515625	0.006082222222222222	0.006388888888888889
49	fb/f1e674	45579271	predictRF (29)	COMPLETED	0	2025-03-08T19:48:51Z	4m 9s	21.2s	95.4%	738.1 MB	1013.6 MB	67 MB	36 MB	predictRF	2025-03-08T19:48:51Z	21.2	249	95.4	20.224800000000002	0.72080078125	0.98984375	0.0654296875	0.03515625	0.005618000000000001	0.005888888888888889
51	c3/4dc571	45579272	predictRF (31)	COMPLETED	0	2025-03-08T19:48:51Z	4m 14s	19.6s	95.0%	737.4 MB	1013.5 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T19:48:51Z	19.6	254	95	18.62	0.7201171875	0.98974609375	0.06533203125	0.0349609375	0.005172222222222222	0.0054444444444444445
44	60/366db6	45579257	predictRF (24)	COMPLETED	0	2025-03-08T19:48:50Z	4m 20s	25.7s	95.5%	737.7 MB	1013.6 MB	67 MB	36 MB	predictRF	2025-03-08T19:48:50Z	25.7	260	95.5	24.543499999999998	0.72041015625	0.98984375	0.0654296875	0.03515625	0.006817638888888889	0.007138888888888889
66	0e/eb2efd	45579265	predictRF (46)	COMPLETED	0	2025-03-08T19:48:50Z	4m 19s	27.6s	95.6%	737.6 MB	1013.6 MB	66.6 MB	34.9 MB	predictRF	2025-03-08T19:48:50Z	27.6	259	95.6	26.3856	0.7203125	0.98984375	0.0650390625	0.03408203125	0.0073293333333333335	0.007666666666666667
69	73/8d5b1c	45579270	predictRF (49)	COMPLETED	0	2025-03-08T19:48:51Z	4m 19s	27.7s	95.5%	738.1 MB	1013.6 MB	66.3 MB	34.2 MB	predictRF	2025-03-08T19:48:51Z	27.7	259	95.5	26.4535	0.72080078125	0.98984375	0.06474609375	0.0333984375	0.007348194444444444	0.007694444444444444
43	ad/b331b7	45579261	predictRF (23)	COMPLETED	0	2025-03-08T19:48:50Z	4m 25s	28.4s	95.2%	738.3 MB	1013.6 MB	67 MB	36 MB	predictRF	2025-03-08T19:48:50Z	28.4	265	95.2	27.0368	0.72099609375	0.98984375	0.0654296875	0.03515625	0.007510222222222222	0.007888888888888888
68	9f/fa1ddc	45579264	predictRF (48)	COMPLETED	0	2025-03-08T19:48:50Z	4m 24s	28.4s	95.7%	737.2 MB	1013.6 MB	66.6 MB	34.9 MB	predictRF	2025-03-08T19:48:50Z	28.4	264	95.7	27.178800000000003	0.719921875	0.98984375	0.0650390625	0.03408203125	0.007549666666666667	0.007888888888888888
59	10/d70875	45579267	predictRF (39)	COMPLETED	0	2025-03-08T19:48:50Z	4m 24s	28.8s	95.6%	737.4 MB	1013.6 MB	66.9 MB	35.9 MB	predictRF	2025-03-08T19:48:50Z	28.8	264	95.6	27.532799999999998	0.7201171875	0.98984375	0.06533203125	0.03505859375	0.007647999999999999	0.008
42	91/43f40a	45579262	predictRF (22)	COMPLETED	0	2025-03-08T19:48:50Z	4m 25s	28s	95.5%	738.3 MB	1013.6 MB	67 MB	35.9 MB	predictRF	2025-03-08T19:48:50Z	28	265	95.5	26.74	0.72099609375	0.98984375	0.0654296875	0.03505859375	0.007427777777777777	0.0077777777777777776
54	68/fbf662	45579268	predictRF (34)	COMPLETED	0	2025-03-08T19:48:51Z	4m 24s	29.1s	95.6%	737.8 MB	1013.6 MB	66.9 MB	35.8 MB	predictRF	2025-03-08T19:48:51Z	29.1	264	95.6	27.8196	0.7205078125	0.98984375	0.06533203125	0.0349609375	0.007727666666666667	0.008083333333333333
47	15/331cec	45579253	predictRF (27)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	28.4s	95.3%	737.5 MB	1013.5 MB	67 MB	36 MB	predictRF	2025-03-08T19:48:50Z	28.4	270	95.3	27.0652	0.72021484375	0.98974609375	0.0654296875	0.03515625	0.007518111111111112	0.007888888888888888
55	1e/df17b5	45579255	predictRF (35)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	28.5s	95.2%	738.2 MB	1013.6 MB	66.9 MB	35.7 MB	predictRF	2025-03-08T19:48:50Z	28.5	270	95.2	27.132	0.7208984375	0.98984375	0.06533203125	0.03486328125	0.007536666666666667	0.007916666666666667
71	ce/f4409d	45579254	predictRF (51)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	27.4s	95.3%	737.1 MB	1013.6 MB	66.4 MB	34.2 MB	predictRF	2025-03-08T19:48:50Z	27.4	270	95.3	26.112199999999998	0.71982421875	0.98984375	0.06484375	0.0333984375	0.007253388888888888	0.007611111111111111
63	eb/7c88a1	45579256	predictRF (43)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	28.2s	95.4%	736.9 MB	1013.5 MB	66.7 MB	35.3 MB	predictRF	2025-03-08T19:48:50Z	28.2	270	95.4	26.902800000000003	0.71962890625	0.98974609375	0.06513671875	0.03447265625	0.0074730000000000005	0.007833333333333333
56	5a/e60af1	45579259	predictRF (36)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	28.5s	95.3%	736.8 MB	1013.6 MB	66.9 MB	35.7 MB	predictRF	2025-03-08T19:48:50Z	28.5	270	95.3	27.1605	0.71953125	0.98984375	0.06533203125	0.03486328125	0.007544583333333333	0.007916666666666667
61	29/279c24	45579258	predictRF (41)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	28.1s	95.5%	737.5 MB	1013.6 MB	66.8 MB	35.4 MB	predictRF	2025-03-08T19:48:50Z	28.1	270	95.5	26.835500000000003	0.72021484375	0.98984375	0.065234375	0.0345703125	0.007454305555555556	0.007805555555555556
48	29/4c98ce	45579260	predictRF (28)	COMPLETED	0	2025-03-08T19:48:50Z	4m 30s	27.2s	94.8%	737.3 MB	1013.6 MB	67 MB	35.9 MB	predictRF	2025-03-08T19:48:50Z	27.2	270	94.8	25.7856	0.72001953125	0.98984375	0.0654296875	0.03505859375	0.007162666666666666	0.007555555555555555
16	c4/7de764	45495809	FastKM (7)	COMPLETED	0	2025-03-08T16:53:05Z	3h 3m 45s	2h 56m 13s	4136.4%	12.3 GB	15.2 GB	69.1 GB	4.4 GB	FastKM	2025-03-08T16:53:05Z	10573	11025	4136.4	437341.5719999999	12.3	15.2	69.1	4.4	121.48376999999998	2.9369444444444444
73	f3/7f9a8c	45579472	trainRF (5)	COMPLETED	0	2025-03-08T19:56:50Z	6m 10s	5m 45s	97.4%	12.8 GB	13.1 GB	2.8 GB	1.9 GB	trainRF	2025-03-08T19:56:50Z	345	370	97.4	336.03	12.8	13.1	2.8	1.9	0.09334166666666666	0.09583333333333334
95	18/52e9c0	45579631	predictRF (74)	COMPLETED	0	2025-03-08T20:03:00Z	1m 5s	18.6s	94.6%	725.5 MB	1002.2 MB	66.7 MB	35.4 MB	predictRF	2025-03-08T20:03:00Z	18.6	65	94.6	17.5956	0.70849609375	0.9787109375	0.06513671875	0.0345703125	0.004887666666666667	0.005166666666666667
104	b8/1f532e	45579632	predictRF (83)	COMPLETED	0	2025-03-08T20:03:00Z	2m 5s	18.2s	94.8%	725.6 MB	1002.2 MB	66.3 MB	34.7 MB	predictRF	2025-03-08T20:03:00Z	18.2	125	94.8	17.2536	0.70859375	0.9787109375	0.06474609375	0.03388671875	0.004792666666666666	0.005055555555555555
101	87/9f1223	45579633	predictRF (80)	COMPLETED	0	2025-03-08T20:03:00Z	3m 5s	18.8s	94.5%	725.5 MB	1002.2 MB	66.5 MB	34.8 MB	predictRF	2025-03-08T20:03:00Z	18.8	185	94.5	17.766000000000002	0.70849609375	0.9787109375	0.06494140625	0.033984375	0.004935	0.005222222222222223
85	7f/812150	45579634	predictRF (64)	COMPLETED	0	2025-03-08T20:03:00Z	4m 5s	18.7s	94.5%	726.4 MB	1002.2 MB	67 MB	35.8 MB	predictRF	2025-03-08T20:03:00Z	18.7	245	94.5	17.671499999999998	0.709375	0.9787109375	0.0654296875	0.0349609375	0.00490875	0.005194444444444444
90	91/15116f	45579635	predictRF (69)	COMPLETED	0	2025-03-08T20:03:00Z	5m 5s	18.8s	94.4%	725.8 MB	1002.2 MB	66.8 MB	35.6 MB	predictRF	2025-03-08T20:03:00Z	18.8	305	94.4	17.747200000000003	0.7087890625	0.9787109375	0.065234375	0.034765625	0.004929777777777779	0.005222222222222223
76	e1/85eb3d	45579636	predictRF (55)	COMPLETED	0	2025-03-08T20:03:00Z	6m 5s	18.8s	94.4%	725.5 MB	1002.2 MB	67 MB	36 MB	predictRF	2025-03-08T20:03:00Z	18.8	365	94.4	17.747200000000003	0.70849609375	0.9787109375	0.0654296875	0.03515625	0.004929777777777779	0.005222222222222223
80	07/868bca	45579637	predictRF (59)	COMPLETED	0	2025-03-08T20:03:00Z	7m 5s	18.8s	94.4%	726.6 MB	1002.2 MB	67 MB	35.9 MB	predictRF	2025-03-08T20:03:00Z	18.8	425	94.4	17.747200000000003	0.7095703125	0.9787109375	0.0654296875	0.03505859375	0.004929777777777779	0.005222222222222223
