task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
53	ac/35b162	134088	predictRF (40)	COMPLETED	0	2025-11-27 14:40:35.463	49.3s	42.5s	103.9%	777.7 MB	12.6 GB	70.7 MB	33.8 MB
47	b3/6af06e	134068	predictRF (34)	COMPLETED	0	2025-11-27 14:40:34.865	54.9s	50.2s	99.5%	790.8 MB	3 GB	70.6 MB	33.7 MB
63	d5/cec2d4	134090	predictRF (50)	COMPLETED	0	2025-11-27 14:40:35.520	54.2s	48.9s	98.0%	790.1 MB	3 GB	70.8 MB	34.3 MB
60	f3/9b4bb0	134093	predictRF (47)	COMPLETED	0	2025-11-27 14:40:35.605	54.1s	48.3s	97.7%	798.1 MB	3 GB	70.7 MB	33.8 MB
50	e6/069630	134069	predictRF (37)	COMPLETED	0	2025-11-27 14:40:34.892	59.8s	54s	97.3%	790.2 MB	3 GB	70.7 MB	34.1 MB
49	52/43133f	134070	predictRF (36)	COMPLETED	0	2025-11-27 14:40:34.921	59.8s	53.9s	97.3%	790.1 MB	3 GB	70.7 MB	34.1 MB
57	3e/292919	134071	predictRF (44)	COMPLETED	0	2025-11-27 14:40:34.955	59.8s	54.3s	97.5%	790 MB	3 GB	70.6 MB	33.5 MB
67	0f/86eacd	134072	predictRF (54)	COMPLETED	0	2025-11-27 14:40:34.985	59.7s	54.5s	97.4%	789.4 MB	3 GB	70.6 MB	33.5 MB
45	aa/5ee9dd	134074	predictRF (32)	COMPLETED	0	2025-11-27 14:40:35.041	59.7s	54.3s	97.4%	790.1 MB	3 GB	70.7 MB	34 MB
48	d2/525b07	134075	predictRF (35)	COMPLETED	0	2025-11-27 14:40:35.072	59.7s	54.8s	97.5%	789.7 MB	3 GB	70.7 MB	33.9 MB
44	dc/dad5d6	134076	predictRF (31)	COMPLETED	0	2025-11-27 14:40:35.102	59.6s	54.9s	97.5%	790.1 MB	3 GB	70.5 MB	33.2 MB
69	e4/5360bf	134091	predictRF (56)	COMPLETED	0	2025-11-27 14:40:35.550	59.2s	53.2s	97.3%	790.1 MB	3 GB	71 MB	34.8 MB
59	fb/dc6e3f	134092	predictRF (46)	COMPLETED	0	2025-11-27 14:40:35.578	59.2s	53.6s	97.5%	790.1 MB	3 GB	70.8 MB	34.3 MB
66	c1/4ad57c	134094	predictRF (53)	COMPLETED	0	2025-11-27 14:40:35.632	59.1s	53.6s	97.4%	789.9 MB	3 GB	70.8 MB	34 MB
68	d7/f252c5	134095	predictRF (55)	COMPLETED	0	2025-11-27 14:40:35.659	59.1s	53.8s	97.3%	790.2 MB	3 GB	70.9 MB	34.2 MB
73	68/051af1	134097	setHaplotypes (1)	COMPLETED	0	2025-11-27 14:41:34.935	24.8s	23.1s	111.4%	11.4 MB	869.7 MB	2.6 GB	1.4 GB
74	e4/8e4022	134096	setHaplotypes (2)	COMPLETED	0	2025-11-27 14:41:34.904	29.8s	23.7s	110.4%	9.6 MB	654.9 MB	2.7 GB	1.5 GB
78	15/313c48	134103	seqtk (4)	COMPLETED	0	2025-11-27 14:42:05.606	29m 14s	29m 11s	719.9%	313.7 MB	964.8 MB	120.1 GB	83.8 GB
77	b0/7f901b	134102	seqtk (3)	COMPLETED	0	2025-11-27 14:42:05.579	33m 59s	33m 58s	637.6%	340.6 MB	1 GB	103.5 GB	57.5 GB
76	e4/2c7e1b	134098	seqtk (2)	COMPLETED	0	2025-11-27 14:42:05.467	58m 24s	58m 20s	413.8%	305.1 MB	955.7 MB	123.5 GB	84.8 GB
75	03/d41f82	134099	seqtk (1)	COMPLETED	0	2025-11-27 14:42:05.495	58m 44s	58m 40s	432.8%	312.1 MB	1 GB	127 GB	89.6 GB
80	26/a168d6	134101	seqtk (6)	COMPLETED	0	2025-11-27 14:42:05.551	1h 1m 19s	1h 1m 14s	406.4%	360 MB	1021.4 MB	100.5 GB	56.7 GB
79	86/843dea	134100	seqtk (5)	COMPLETED	0	2025-11-27 14:42:05.523	1h 2m 54s	1h 2m 50s	556.4%	296 MB	957.2 MB	116.8 GB	79.4 GB
